Dish Name,Category,Serving Size,Calories (kcal),Carbs (g),Protein (g),Fat (g),Notes
Laswa (Iloilo) (Fiesta Portion),Lunch/Dinner,1 bowl (250g),251,25,11,8,Light vegetable soup
Laswa (Iloilo) (Budget Bowl),Lunch/Dinner,1 bowl (250g),153,15,6,5,Light vegetable soup
Piyanggang Manok (Tausug) (Small Serving),Lunch/Dinner,1 cup (200g),255,6,19,16,Chicken with burnt coconut
Piyanggang Manok (Tausug) (Large Serving),Lunch/Dinner,1 cup (200g),425,10,32,27,Chicken with burnt coconut
Piyanggang Manok (Tausug) (Spicy Variant),Lunch/Dinner,1 cup (200g),340,8,26,22,Chicken with burnt coconut; spicy
Piyanggang Manok (Tausug) (Low-Sodium),Lunch/Dinner,1 cup (200g),340,8,26,22,Chicken with burnt coconut; reduced salt
Piyanggang Manok (Tausug) (With Brown Rice),Lunch/Dinner,1 cup (200g),357,14,27,23,Chicken with burnt coconut; whole grain option
Piyanggang Manok (Tausug) (Fiesta Portion),Lunch/Dinner,1 cup (200g),475,11,36,30,Chicken with burnt coconut
Piyanggang Manok (Tausug) (Budget Bowl),Lunch/Dinner,1 cup (200g),289,6,22,18,Chicken with burnt coconut
Tiyula Itum (Tausug) (Small Serving),Lunch/Dinner,1 bowl (300g),270,9,21,16,Black soup with burnt coconut
Tiyula Itum (Tausug) (Large Serving),Lunch/Dinner,1 bowl (300g),450,15,35,27,Black soup with burnt coconut
Tiyula Itum (Tausug) (Spicy Variant),Lunch/Dinner,1 bowl (300g),360,12,28,22,Black soup with burnt coconut; spicy
Tiyula Itum (Tausug) (Low-Sodium),Lunch/Dinner,1 bowl (300g),360,12,28,22,Black soup with burnt coconut; reduced salt
Tiyula Itum (Tausug) (With Brown Rice),Lunch/Dinner,1 bowl (300g),378,18,29,23,Black soup with burnt coconut; whole grain option
Tiyula Itum (Tausug) (Fiesta Portion),Lunch/Dinner,1 bowl (300g),503,16,39,30,Black soup with burnt coconut
Tiyula Itum (Tausug) (Budget Bowl),Lunch/Dinner,1 bowl (300g),306,10,23,18,Black soup with burnt coconut
Piaparan (Maranao) (Small Serving),Lunch/Dinner,1 cup (200g),270,10,18,16,Coconut & turmeric
Piaparan (Maranao) (Large Serving),Lunch/Dinner,1 cup (200g),450,17,30,27,Coconut & turmeric
Piaparan (Maranao) (Spicy Variant),Lunch/Dinner,1 cup (200g),360,14,24,22,Coconut & turmeric; spicy
Piaparan (Maranao) (Low-Sodium),Lunch/Dinner,1 cup (200g),360,14,24,22,Coconut & turmeric; reduced salt
Piaparan (Maranao) (With Brown Rice),Lunch/Dinner,1 cup (200g),378,20,25,23,Coconut & turmeric; whole grain option
Piaparan (Maranao) (Fiesta Portion),Lunch/Dinner,1 cup (200g),503,19,33,30,Coconut & turmeric
Piaparan (Maranao) (Budget Bowl),Lunch/Dinner,1 cup (200g),306,11,20,18,Coconut & turmeric
Pastil (Maguindanao) (Small Serving),Snack/Lunch,1 pack (180g),315,45,12,7,Rice with shredded chicken
Pastil (Maguindanao) (Large Serving),Snack/Lunch,1 pack (180g),525,75,20,12,Rice with shredded chicken
Pastil (Maguindanao) (Spicy Variant),Snack/Lunch,1 pack (180g),420,60,16,10,Rice with shredded chicken; spicy
Pastil (Maguindanao) (Low-Sodium),Snack/Lunch,1 pack (180g),420,60,16,10,Rice with shredded chicken; reduced salt
Pastil (Maguindanao) (With Brown Rice),Snack/Lunch,1 pack (180g),441,69,16,10,Rice with shredded chicken; whole grain option
Pastil (Maguindanao) (Fiesta Portion),Snack/Lunch,1 pack (180g),588,84,22,14,Rice with shredded chicken
Pastil (Maguindanao) (Budget Bowl),Snack/Lunch,1 pack (180g),357,51,13,8,Rice with shredded chicken
Tinowa (Cebu) (Small Serving),Lunch/Dinner,1 bowl (250g),180,4,19,7,Clear fish soup
Tinowa (Cebu) (Large Serving),Lunch/Dinner,1 bowl (250g),300,7,32,12,Clear fish soup
Tinowa (Cebu) (Spicy Variant),Lunch/Dinner,1 bowl (250g),240,6,26,10,Clear fish soup; spicy
Tinowa (Cebu) (Low-Sodium),Lunch/Dinner,1 bowl (250g),240,6,26,10,Clear fish soup; reduced salt
Tinowa (Cebu) (With Brown Rice),Lunch/Dinner,1 bowl (250g),252,12,27,10,Clear fish soup; whole grain option
Tinowa (Cebu) (Fiesta Portion),Lunch/Dinner,1 bowl (250g),336,8,36,14,Clear fish soup
Tinowa (Cebu) (Budget Bowl),Lunch/Dinner,1 bowl (250g),204,5,22,8,Clear fish soup
Linarang (Cebu) (Small Serving),Lunch/Dinner,1 bowl (250g),225,7,18,12,Sour-savory fish stew
Linarang (Cebu) (Large Serving),Lunch/Dinner,1 bowl (250g),375,12,30,20,Sour-savory fish stew
Linarang (Cebu) (Spicy Variant),Lunch/Dinner,1 bowl (250g),300,10,24,16,Sour-savory fish stew; spicy
Linarang (Cebu) (Low-Sodium),Lunch/Dinner,1 bowl (250g),300,10,24,16,Sour-savory fish stew; reduced salt
Linarang (Cebu) (With Brown Rice),Lunch/Dinner,1 bowl (250g),315,16,25,16,Sour-savory fish stew; whole grain option
Linarang (Cebu) (Fiesta Portion),Lunch/Dinner,1 bowl (250g),420,14,33,22,Sour-savory fish stew
Linarang (Cebu) (Budget Bowl),Lunch/Dinner,1 bowl (250g),255,8,20,13,Sour-savory fish stew
Kinilaw na Lato (Small Serving),Snack/Lunch,1 cup (150g),90,7,3,3,Seaweed salad
Kinilaw na Lato (Large Serving),Snack/Lunch,1 cup (150g),150,12,5,5,Seaweed salad
Kinilaw na Lato (Spicy Variant),Snack/Lunch,1 cup (150g),120,10,4,4,Seaweed salad; spicy
Kinilaw na Lato (Low-Sodium),Snack/Lunch,1 cup (150g),120,10,4,4,Seaweed salad; reduced salt
Kinilaw na Lato (With Brown Rice),Snack/Lunch,1 cup (150g),126,16,4,4,Seaweed salad; whole grain option
Kinilaw na Lato (Fiesta Portion),Snack/Lunch,1 cup (150g),168,14,5,5,Seaweed salad
Kinilaw na Lato (Budget Bowl),Snack/Lunch,1 cup (150g),102,8,3,3,Seaweed salad
Bringhe (Kapampangan Paella) (Small Serving),Lunch/Dinner,1 plate (300g),390,58,13,9,Sticky rice paella
Bringhe (Kapampangan Paella) (Large Serving),Lunch/Dinner,1 plate (300g),650,97,22,15,Sticky rice paella
Bringhe (Kapampangan Paella) (Spicy Variant),Lunch/Dinner,1 plate (300g),520,78,18,12,Sticky rice paella; spicy
Bringhe (Kapampangan Paella) (Low-Sodium),Lunch/Dinner,1 plate (300g),520,78,18,12,Sticky rice paella; reduced salt
Bringhe (Kapampangan Paella) (With Brown Rice),Lunch/Dinner,1 plate (300g),546,87,18,12,Sticky rice paella; whole grain option
Bringhe (Kapampangan Paella) (Fiesta Portion),Lunch/Dinner,1 plate (300g),728,109,25,16,Sticky rice paella
Bringhe (Kapampangan Paella) (Budget Bowl),Lunch/Dinner,1 plate (300g),442,66,15,10,Sticky rice paella
Morcon (Small Serving),Lunch/Dinner,1 slice (150g),270,9,18,16,Stuffed beef roulade
Morcon (Large Serving),Lunch/Dinner,1 slice (150g),450,15,30,27,Stuffed beef roulade
Morcon (Spicy Variant),Lunch/Dinner,1 slice (150g),360,12,24,22,Stuffed beef roulade; spicy
Morcon (Low-Sodium),Lunch/Dinner,1 slice (150g),360,12,24,22,Stuffed beef roulade; reduced salt
Morcon (With Brown Rice),Lunch/Dinner,1 slice (150g),378,18,25,23,Stuffed beef roulade; whole grain option
Morcon (Fiesta Portion),Lunch/Dinner,1 slice (150g),503,16,33,30,Stuffed beef roulade
Morcon (Budget Bowl),Lunch/Dinner,1 slice (150g),306,10,20,18,Stuffed beef roulade
Callos (Filipino) (Small Serving),Lunch/Dinner,1 cup (200g),240,12,18,13,Tripe stew
Callos (Filipino) (Large Serving),Lunch/Dinner,1 cup (200g),400,20,30,22,Tripe stew
Callos (Filipino) (Spicy Variant),Lunch/Dinner,1 cup (200g),320,16,24,18,Tripe stew; spicy
Callos (Filipino) (Low-Sodium),Lunch/Dinner,1 cup (200g),320,16,24,18,Tripe stew; reduced salt
Callos (Filipino) (With Brown Rice),Lunch/Dinner,1 cup (200g),336,22,25,18,Tripe stew; whole grain option
Callos (Filipino) (Fiesta Portion),Lunch/Dinner,1 cup (200g),448,22,33,25,Tripe stew
Callos (Filipino) (Budget Bowl),Lunch/Dinner,1 cup (200g),272,13,20,15,Tripe stew
Tinapa Fried Rice (Small Serving),Breakfast/Lunch,1 cup (200g),240,37,7,6,Smoked fish fried rice
Tinapa Fried Rice (Large Serving),Breakfast/Lunch,1 cup (200g),400,62,12,10,Smoked fish fried rice
Tinapa Fried Rice (Spicy Variant),Breakfast/Lunch,1 cup (200g),320,50,10,8,Smoked fish fried rice; spicy
Tinapa Fried Rice (Low-Sodium),Breakfast/Lunch,1 cup (200g),320,50,10,8,Smoked fish fried rice; reduced salt
Tinapa Fried Rice (With Brown Rice),Breakfast/Lunch,1 cup (200g),336,58,10,8,Smoked fish fried rice; whole grain option
Tinapa Fried Rice (Fiesta Portion),Breakfast/Lunch,1 cup (200g),448,70,14,11,Smoked fish fried rice
Tinapa Fried Rice (Budget Bowl),Breakfast/Lunch,1 cup (200g),272,42,8,6,Smoked fish fried rice
Gising-Gising (Small Serving),Lunch/Dinner,1 cup (200g),225,10,10,15,Spicy coconut green beans
Gising-Gising (Large Serving),Lunch/Dinner,1 cup (200g),375,17,17,25,Spicy coconut green beans
Gising-Gising (Spicy Variant),Lunch/Dinner,1 cup (200g),300,14,14,20,Spicy coconut green beans; spicy
Gising-Gising (Low-Sodium),Lunch/Dinner,1 cup (200g),300,14,14,20,Spicy coconut green beans; reduced salt
Gising-Gising (With Brown Rice),Lunch/Dinner,1 cup (200g),315,20,14,21,Spicy coconut green beans; whole grain option
Gising-Gising (Fiesta Portion),Lunch/Dinner,1 cup (200g),420,19,19,28,Spicy coconut green beans
Gising-Gising (Budget Bowl),Lunch/Dinner,1 cup (200g),255,11,11,17,Spicy coconut green beans
Pritong Tilapia (Small Serving),Lunch/Dinner,150g,210,0,21,12,Fried tilapia
Pritong Tilapia (Large Serving),Lunch/Dinner,150g,350,0,35,20,Fried tilapia
Pritong Tilapia (Spicy Variant),Lunch/Dinner,150g,280,0,28,16,Fried tilapia; spicy
Pritong Tilapia (Low-Sodium),Lunch/Dinner,150g,280,0,28,16,Fried tilapia; reduced salt
Pritong Tilapia (With Brown Rice),Lunch/Dinner,150g,294,6,29,16,Fried tilapia; whole grain option
Pritong Tilapia (Fiesta Portion),Lunch/Dinner,150g,392,0,39,22,Fried tilapia
Pritong Tilapia (Budget Bowl),Lunch/Dinner,150g,238,0,23,13,Fried tilapia
Pritong Bangus (Small Serving),Lunch/Dinner,150g,225,0,22,13,Fried milkfish
Pritong Bangus (Large Serving),Lunch/Dinner,150g,375,0,37,22,Fried milkfish
Pritong Bangus (Spicy Variant),Lunch/Dinner,150g,300,0,30,18,Fried milkfish; spicy
Pritong Bangus (Low-Sodium),Lunch/Dinner,150g,300,0,30,18,Fried milkfish; reduced salt
Pritong Bangus (With Brown Rice),Lunch/Dinner,150g,315,6,31,18,Fried milkfish; whole grain option
Pritong Bangus (Fiesta Portion),Lunch/Dinner,150g,420,0,42,25,Fried milkfish
Pritong Bangus (Budget Bowl),Lunch/Dinner,150g,255,0,25,15,Fried milkfish
Inasal na Baboy (Small Serving),Lunch/Dinner,150g,315,4,21,22,Grilled pork inasal
Inasal na Baboy (Large Serving),Lunch/Dinner,150g,525,7,35,37,Grilled pork inasal
Inasal na Baboy (Spicy Variant),Lunch/Dinner,150g,420,6,28,30,Grilled pork inasal; spicy
Inasal na Baboy (Low-Sodium),Lunch/Dinner,150g,420,6,28,30,Grilled pork inasal; reduced salt
Inasal na Baboy (With Brown Rice),Lunch/Dinner,150g,441,12,29,31,Grilled pork inasal; whole grain option
Inasal na Baboy (Fiesta Portion),Lunch/Dinner,150g,588,8,39,42,Grilled pork inasal
Inasal na Baboy (Budget Bowl),Lunch/Dinner,150g,357,5,23,25,Grilled pork inasal
Tinapang Galunggong (Small Serving),Lunch/Dinner,120g,180,0,18,10,Smoked round scad
Tinapang Galunggong (Large Serving),Lunch/Dinner,120g,300,0,30,17,Smoked round scad
Tinapang Galunggong (Spicy Variant),Lunch/Dinner,120g,240,0,24,14,Smoked round scad; spicy
Tinapang Galunggong (Low-Sodium),Lunch/Dinner,120g,240,0,24,14,Smoked round scad; reduced salt
Tinapang Galunggong (With Brown Rice),Lunch/Dinner,120g,252,6,25,14,Smoked round scad; whole grain option
Tinapang Galunggong (Fiesta Portion),Lunch/Dinner,120g,336,0,33,19,Smoked round scad
Tinapang Galunggong (Budget Bowl),Lunch/Dinner,120g,204,0,20,11,Smoked round scad
Lumpiang Togue (Small Serving),Snack,2 pcs (120g),180,21,4,7,Bean sprout lumpia
Lumpiang Togue (Large Serving),Snack,2 pcs (120g),300,35,7,12,Bean sprout lumpia
Lumpiang Togue (Spicy Variant),Snack,2 pcs (120g),240,28,6,10,Bean sprout lumpia; spicy
Lumpiang Togue (Low-Sodium),Snack,2 pcs (120g),240,28,6,10,Bean sprout lumpia; reduced salt
Lumpiang Togue (With Brown Rice),Snack,2 pcs (120g),252,35,6,10,Bean sprout lumpia; whole grain option
Lumpiang Togue (Fiesta Portion),Snack,2 pcs (120g),336,39,8,14,Bean sprout lumpia
Lumpiang Togue (Budget Bowl),Snack,2 pcs (120g),204,23,5,8,Bean sprout lumpia
Binagoongan (Pork) (Small Serving),Lunch/Dinner,1 cup (200g),270,9,18,18,Pork in shrimp paste
Binagoongan (Pork) (Large Serving),Lunch/Dinner,1 cup (200g),450,15,30,30,Pork in shrimp paste
Binagoongan (Pork) (Spicy Variant),Lunch/Dinner,1 cup (200g),360,12,24,24,Pork in shrimp paste; spicy
Binagoongan (Pork) (Low-Sodium),Lunch/Dinner,1 cup (200g),360,12,24,24,Pork in shrimp paste; reduced salt
Binagoongan (Pork) (With Brown Rice),Lunch/Dinner,1 cup (200g),378,18,25,25,Pork in shrimp paste; whole grain option
Binagoongan (Pork) (Fiesta Portion),Lunch/Dinner,1 cup (200g),503,16,33,33,Pork in shrimp paste
Binagoongan (Pork) (Budget Bowl),Lunch/Dinner,1 cup (200g),306,10,20,20,Pork in shrimp paste
Ginataang Hipon (Small Serving),Lunch/Dinner,1 cup (200g),255,9,18,16,Shrimp in coconut milk
Ginataang Hipon (Large Serving),Lunch/Dinner,1 cup (200g),425,15,30,27,Shrimp in coconut milk
Ginataang Hipon (Spicy Variant),Lunch/Dinner,1 cup (200g),340,12,24,22,Shrimp in coconut milk; spicy
Ginataang Hipon (Low-Sodium),Lunch/Dinner,1 cup (200g),340,12,24,22,Shrimp in coconut milk; reduced salt
Ginataang Hipon (With Brown Rice),Lunch/Dinner,1 cup (200g),357,18,25,23,Shrimp in coconut milk; whole grain option
Ginataang Hipon (Fiesta Portion),Lunch/Dinner,1 cup (200g),475,16,33,30,Shrimp in coconut milk
Ginataang Hipon (Budget Bowl),Lunch/Dinner,1 cup (200g),289,10,20,18,Shrimp in coconut milk
Ginataang Gulay (Mixed) (Small Serving),Lunch/Dinner,1 cup (200g),210,16,6,13,Mixed veggies in coconut milk
Ginataang Gulay (Mixed) (Large Serving),Lunch/Dinner,1 cup (200g),350,27,10,22,Mixed veggies in coconut milk
Ginataang Gulay (Mixed) (Spicy Variant),Lunch/Dinner,1 cup (200g),280,22,8,18,Mixed veggies in coconut milk; spicy
Ginataang Gulay (Mixed) (Low-Sodium),Lunch/Dinner,1 cup (200g),280,22,8,18,Mixed veggies in coconut milk; reduced salt
Ginataang Gulay (Mixed) (With Brown Rice),Lunch/Dinner,1 cup (200g),294,29,8,18,Mixed veggies in coconut milk; whole grain option
Ginataang Gulay (Mixed) (Fiesta Portion),Lunch/Dinner,1 cup (200g),392,30,11,25,Mixed veggies in coconut milk
Ginataang Gulay (Mixed) (Budget Bowl),Lunch/Dinner,1 cup (200g),238,18,6,15,Mixed veggies in coconut milk
Tinapa at Kamatis (Small Serving),Breakfast/Lunch,1 plate (150g),165,6,12,9,Smoked fish with tomato
Tinapa at Kamatis (Large Serving),Breakfast/Lunch,1 plate (150g),275,10,20,15,Smoked fish with tomato
Tinapa at Kamatis (Spicy Variant),Breakfast/Lunch,1 plate (150g),220,8,16,12,Smoked fish with tomato; spicy
Tinapa at Kamatis (Low-Sodium),Breakfast/Lunch,1 plate (150g),220,8,16,12,Smoked fish with tomato; reduced salt
Tinapa at Kamatis (With Brown Rice),Breakfast/Lunch,1 plate (150g),231,14,16,12,Smoked fish with tomato; whole grain option
Tinapa at Kamatis (Fiesta Portion),Breakfast/Lunch,1 plate (150g),308,11,22,16,Smoked fish with tomato
Tinapa at Kamatis (Budget Bowl),Breakfast/Lunch,1 plate (150g),187,6,13,10,Smoked fish with tomato
Arroz Valenciana (Small Serving),Lunch/Dinner,1 plate (300g),405,60,13,9,Fiesta rice dish
Arroz Valenciana (Large Serving),Lunch/Dinner,1 plate (300g),675,100,22,15,Fiesta rice dish
Arroz Valenciana (Spicy Variant),Lunch/Dinner,1 plate (300g),540,80,18,12,Fiesta rice dish; spicy
Arroz Valenciana (Low-Sodium),Lunch/Dinner,1 plate (300g),540,80,18,12,Fiesta rice dish; reduced salt
Arroz Valenciana (With Brown Rice),Lunch/Dinner,1 plate (300g),567,90,18,12,Fiesta rice dish; whole grain option
Arroz Valenciana (Fiesta Portion),Lunch/Dinner,1 plate (300g),756,112,25,16,Fiesta rice dish
Arroz Valenciana (Budget Bowl),Lunch/Dinner,1 plate (300g),459,68,15,10,Fiesta rice dish
Pritong Manok (Small Serving),Lunch/Dinner,150g,270,4,21,16,Fried chicken
Pritong Manok (Large Serving),Lunch/Dinner,150g,450,7,35,27,Fried chicken
Pritong Manok (Spicy Variant),Lunch/Dinner,150g,360,6,28,22,Fried chicken; spicy
Pritong Manok (Low-Sodium),Lunch/Dinner,150g,360,6,28,22,Fried chicken; reduced salt
Pritong Manok (With Brown Rice),Lunch/Dinner,150g,378,12,29,23,Fried chicken; whole grain option
Pritong Manok (Fiesta Portion),Lunch/Dinner,150g,503,8,39,30,Fried chicken
Pritong Manok (Budget Bowl),Lunch/Dinner,150g,306,5,23,18,Fried chicken
Inihaw na Manok (Small Serving),Lunch/Dinner,150g,240,3,21,15,Grilled chicken
Inihaw na Manok (Large Serving),Lunch/Dinner,150g,400,5,35,25,Grilled chicken
Inihaw na Manok (Spicy Variant),Lunch/Dinner,150g,320,4,28,20,Grilled chicken; spicy
Inihaw na Manok (Low-Sodium),Lunch/Dinner,150g,320,4,28,20,Grilled chicken; reduced salt
Inihaw na Manok (With Brown Rice),Lunch/Dinner,150g,336,10,29,21,Grilled chicken; whole grain option
Inihaw na Manok (Fiesta Portion),Lunch/Dinner,150g,448,5,39,28,Grilled chicken
Inihaw na Manok (Budget Bowl),Lunch/Dinner,150g,272,3,23,17,Grilled chicken
Skinless Longganisa (Small Serving),Breakfast,2 links (80g),210,4,9,16,Homemade style
Skinless Longganisa (Large Serving),Breakfast,2 links (80g),350,7,15,27,Homemade style
Skinless Longganisa (Spicy Variant),Breakfast,2 links (80g),280,6,12,22,Homemade style; spicy
Skinless Longganisa (Low-Sodium),Breakfast,2 links (80g),280,6,12,22,Homemade style; reduced salt
Skinless Longganisa (With Brown Rice),Breakfast,2 links (80g),294,12,12,23,Homemade style; whole grain option
Skinless Longganisa (Fiesta Portion),Breakfast,2 links (80g),392,8,16,30,Homemade style
Skinless Longganisa (Budget Bowl),Breakfast,2 links (80g),238,5,10,18,Homemade style
Pork Tocino (Small Serving),Breakfast/Lunch,100g,217,15,9,13,Sweet cured pork
Pork Tocino (Large Serving),Breakfast/Lunch,100g,362,25,15,22,Sweet cured pork
Pork Tocino (Spicy Variant),Breakfast/Lunch,100g,290,20,12,18,Sweet cured pork; spicy
Pork Tocino (Low-Sodium),Breakfast/Lunch,100g,290,20,12,18,Sweet cured pork; reduced salt
Pork Tocino (With Brown Rice),Breakfast/Lunch,100g,304,27,12,18,Sweet cured pork; whole grain option
Pork Tocino (Fiesta Portion),Breakfast/Lunch,100g,406,28,16,25,Sweet cured pork
Pork Tocino (Budget Bowl),Breakfast/Lunch,100g,246,17,10,15,Sweet cured pork
Beef Tapa (Small Serving),Breakfast/Lunch,100g,195,4,15,12,Cured beef strips
Beef Tapa (Large Serving),Breakfast/Lunch,100g,325,7,25,20,Cured beef strips
Beef Tapa (Spicy Variant),Breakfast/Lunch,100g,260,6,20,16,Cured beef strips; spicy
Beef Tapa (Low-Sodium),Breakfast/Lunch,100g,260,6,20,16,Cured beef strips; reduced salt
Beef Tapa (With Brown Rice),Breakfast/Lunch,100g,273,12,21,16,Cured beef strips; whole grain option
Beef Tapa (Fiesta Portion),Breakfast/Lunch,100g,364,8,28,22,Cured beef strips
Beef Tapa (Budget Bowl),Breakfast/Lunch,100g,221,5,17,13,Cured beef strips
Batangas Lomi Special,Lunch/Dinner,1 bowl (350g),560,65,22,20,"With liver, kikiam, chicharon"
Pares w/ Garlic Rice,Lunch/Dinner,1 set,780,85,35,28,Beef pares with rice & soup
Goto Special (With Tokwa't Baboy),Breakfast/Snack,1 bowl + side,520,60,26,18,Hearty combo
Arroz Caldo w/ Egg,Breakfast/Snack,1 bowl (280g),360,48,18,10,With boiled egg
Tinapa Omelette,Breakfast,1 serving,280,6,16,20,Eggs with smoked fish
Sardinas with Misua,Lunch/Dinner,1 bowl (250g),320,46,14,8,Budget-friendly soup
Ginataang Langka,Lunch/Dinner,1 cup (200g),300,20,8,20,Young jackfruit in coconut milk
Binignit (Visayan Ginataan),Snack/Dessert,1 bowl (250g),360,68,4,8,Root crops in coconut milk
Chicken Curry (Filipino),Lunch/Dinner,1 cup (200g),340,18,24,18,Mild coconut curry
Beef Kare-Kare,Lunch/Dinner,1 cup (200g),520,20,28,34,Beef shank & tripe
Piniritong Lumpiang Shanghai Rice Bowl,Lunch,1 bowl,620,72,20,24,Bowl combo
Sisig w/ Rice,Lunch/Dinner,1 plate,780,60,28,42,Sizzling chopped pork face
Chicharon Bulaklak,Snack,100g,540,4,12,50,Deep-fried pork mesentery
Pritong Isda w/ Escabeche,Lunch/Dinner,1 plate (220g),360,28,24,14,Sweet-sour sauce
Bangus Sisig,Lunch/Dinner,1 plate,520,24,28,28,Milkfish sisig
Tinapa Pasta,Snack/Lunch,1 plate (250g),520,62,22,18,Filipino-style pasta
Filipino-Style Spaghetti,Snack/Lunch,1 plate (300g),620,90,20,16,Sweet-style with hotdogs
Carbonara (Pinoy),Snack/Lunch,1 plate (300g),650,70,22,24,Creamy style
Liver Steak (Bistek Atay),Lunch/Dinner,1 cup (200g),320,10,26,16,Liver with onions
Taho,Breakfast,Per 1 cup (250g),180,3,1,40,"Rich in protein, calcium; affordable street food."
Champorado,Breakfast,Per bowl (200g),250,5,3,55,Good source of energy; often paired with tuyo.
Arroz Caldo,Breakfast,Per bowl (250g),280,9,7,48,High in protein and comfort food; budget-friendly.
Goto,Breakfast,Per bowl (250g),260,8,6,47,Hearty rice porridge; filling and low cost.
Pandesal with Peanut Butter,Breakfast,2 pcs (80g),210,6,8,28,"Affordable bread staple, versatile filling."
Pandesal with Cheese,Breakfast,2 pcs (80g),230,8,9,27,"Protein and calcium-rich, very affordable."
Tapsilog,Breakfast,1 serving (300g),520,28,18,60,"Classic silog meal, protein-packed."
Longsilog,Breakfast,1 serving (300g),540,22,25,58,Savory and filling breakfast option.
Tosilog,Breakfast,1 serving (300g),500,26,20,55,Popular breakfast meal; protein-rich.
Corned Beef with Rice,Breakfast,1 cup rice + 85g corned beef,430,14,20,46,"Easy to prepare, affordable canned option."
Fried Egg with Rice,Breakfast,1 cup rice + 1 egg,320,10,9,45,"Very budget-friendly, protein-rich."
Hotdog with Rice,Breakfast,1 cup rice + 2 hotdogs,420,12,25,40,"Affordable, popular breakfast for kids."
Sopas,Breakfast,Per bowl (250g),290,12,8,45,Affordable creamy pasta soup; hearty.
Pancit Canton (Instant),Breakfast,1 pack cooked (100g),350,9,14,48,Budget quick breakfast option.
Binatog,Breakfast,1 cup (200g),280,7,8,46,"Affordable street food, high in carbs."
Banana Cue,Breakfast,1 stick (150g),200,2,6,38,Sweet and filling; cheap street snack.
Camote Cue,Breakfast,1 stick (150g),210,2,7,40,Affordable street food snack.
Turon,Breakfast,1 pc (100g),180,3,6,32,Banana spring roll; sweet breakfast/snack.
Puto with Cheese,Breakfast,2 pcs (80g),220,5,5,42,"Steamed rice cake, filling and affordable."
Kutsinta,Breakfast,3 pcs (90g),190,2,4,40,Sticky rice cake; often paired with puto.
Palitaw,Breakfast,2 pcs (100g),210,4,5,42,"Rice-based sweet, affordable option."
Bibingka,Breakfast,1 pc (120g),250,5,9,40,Holiday treat but affordable version exists.
Biko,Breakfast,1 slice (100g),230,4,7,46,Sticky rice delicacy; budget-friendly.
Pandesal with Coffee,Breakfast,2 pcs (80g),180,6,4,30,Classic Filipino breakfast pairing.
Banana with Rice,Breakfast,1 cup rice + 1 banana,280,5,1,62,Cheap but filling combo.
Daing na Bangus with Rice,Breakfast,1 serving (200g),400,30,18,32,"Protein-rich, affordable local fish."
Fried Galunggong with Rice,Breakfast,1 serving (200g),370,28,15,36,Budget-friendly fish meal.
Lugaw,Breakfast,Per bowl (200g),180,6,3,35,Simple porridge; highly affordable.
Instant Noodles with Rice,Breakfast,1 pack + 1 cup rice,460,10,16,65,"Cheap combo, common in low-income homes."
Salted Egg with Tomato & Rice,Breakfast,1 egg + 1 cup rice,340,10,16,38,Very budget-friendly classic meal.
Peanut Butter Sandwich,Breakfast,2 slices bread,290,8,12,35,Affordable and filling.
Egg Sandwich,Breakfast,2 slices bread + egg,300,12,10,36,"Protein-rich, low-cost sandwich."
Adobong Sitaw,Lunch,Per serving (200g),280,12,15,25,"Vegetable-based adobo, budget-friendly."
Adobong Kangkong,Lunch,Per serving (200g),240,8,12,30,Nutritious and affordable veggie dish.
Ginataang Kalabasa at Sitaw,Lunch,Per serving (250g),320,10,18,35,"Budget-friendly, healthy dish."
Pinakbet,Lunch,Per serving (250g),300,12,14,35,Ilocano vegetable dish; affordable.
Laing,Lunch,Per serving (200g),310,8,20,30,"Bicol dish, taro leaves in coconut milk."
Pritong Tilapia,Lunch,1 pc (200g),370,32,18,30,Common affordable fish meal.
Fried Galunggong,Lunch,1 pc (200g),360,28,15,28,Budget staple for many families.
Adobong Pusit,Lunch,Per serving (200g),340,22,16,25,Affordable seafood dish.
Pork Giniling,Lunch,Per serving (200g),400,18,22,32,Budget ground pork dish.
Chicken Afritada,Lunch,Per serving (250g),420,20,24,35,Tomato-based chicken stew.
Ginisang Monggo,Lunch,Per serving (200g),290,15,10,35,"Protein-rich mung beans, affordable."
Tinolang Manok,Lunch,Per serving (250g),380,25,14,28,Nutritious soup dish.
Sinigang na Baboy,Lunch,Per serving (250g),450,28,24,30,"Popular sour soup, affordable version."
Sinigang na Isda,Lunch,Per serving (250g),390,30,14,25,"Sour fish soup, very budget-friendly."
Adobong Manok,Lunch,Per serving (250g),420,28,22,30,"Staple Filipino dish, affordable meat."
Adobong Baboy,Lunch,Per serving (250g),460,26,28,20,"Pork adobo, common household dish."
Menudo,Lunch,Per serving (250g),430,20,26,30,Tomato-based pork stew.
Mechado,Lunch,Per serving (250g),440,22,28,28,Budget-friendly tomato-based dish.
Nilagang Baboy,Lunch,Per serving (250g),400,22,18,30,Simple boiled pork dish.
Nilagang Manok,Lunch,Per serving (250g),380,24,16,28,Boiled chicken with vegetables.
Fried Bangus,Lunch,1 pc (200g),390,32,18,20,"Milkfish, common affordable protein."
Inihaw na Tilapia,Lunch,1 pc (200g),350,30,12,18,Grilled affordable fish.
Inihaw na Baboy,Lunch,Per serving (200g),450,28,25,20,Budget grilled pork meal.
